codprov,seats,type
01,13,midterms
01,12,presidentials
03,3,midterms
03,2,presidentials
06,4,midterms
06,3,presidentials
07,2,midterms
07,3,presidentials
04,9,midterms
04,9,presidentials
05,3,midterms
05,4,presidentials
08,5,midterms
08,4,presidentials
09,2,midterms
09,3,presidentials
10,3,midterms
10,3,presidentials
13,5,midterms
13,5,presidentials
14,3,midterms
14,4,presidentials
15,3,midterms
15,2,presidentials
11,3,midterms
11,2,presidentials
02,35,midterms
02,35,presidentials
12,2,midterms
12,3,presidentials
16,2,midterms
16,3,presidentials
17,3,midterms
17,4,presidentials
22,3,midterms
22,4,presidentials
20,3,midterms
20,2,presidentials
21,9,midterms
21,10,presidentials
18,3,midterms
18,3,presidentials
19,3,midterms
19,2,presidentials
24,2,midterms
24,3,presidentials
23,4,midterms
23,5,presidentials
